company_id,edge_type,val_id,node_type
5000589837.0,Macro Industry,Industrials,Industry
5001233478.0,Macro Industry,Media and Entertainment,Industry
4295864114.0,Macro Industry,Materials,Industry
4295864114.0,Macro Industry,Materials,Industry
4296288833.0,Macro Industry,Consumer Products and Services,Industry
5000626206.0,Macro Industry,Materials,Industry
4295873721.0,Macro Industry,Materials,Industry
4295879516.0,Macro Industry,Retail,Industry
5000015603.0,Macro Industry,Energy and Power,Industry
4295876889.0,Macro Industry,Materials,Industry
4297795913.0,Macro Industry,Industrials,Industry
5000153644.0,Macro Industry,High Technology,Industry
5074838552.0,Macro Industry,Healthcare,Industry
4297044785.0,Macro Industry,Consumer Products and Services,Industry
5046393893.0,Macro Industry,Materials,Industry
4295900599.0,Macro Industry,Consumer Products and Services,Industry
4295907381.0,Macro Industry,Healthcare,Industry
5059957152.0,Macro Industry,Materials,Industry
5079208324.0,Macro Industry,Industrials,Industry
